"Date","Source PM2.5 AQI Value","PM2.5 AQI Value","Source  AQI Value"," AQI Value"
"01/01/2016","AQS","30","","."
"01/02/2016","AQS","37","","."
"01/03/2016","AQS","43","","."
"01/04/2016","AQS","24","","."
"01/05/2016","AQS","27","","."
"01/06/2016","AQS","67","","."
"01/07/2016","AQS","73","","."
"01/08/2016","AQS","75","","."
"01/09/2016","AQS","59","","."
"01/10/2016","AQS","13","","."
"01/11/2016","AQS","25","","."
"01/12/2016","AQS","31","","."
"01/13/2016","AQS","33","","."
"01/14/2016","AQS","40","","."
"01/15/2016","AQS","59","","."
"01/16/2016","AQS","48","","."
"01/17/2016","AQS","40","","."
"01/18/2016","AQS","29","","."
"01/19/2016","AQS","27","","."
"01/20/2016","AQS","50","","."
"01/21/2016","AQS","57","","."
"01/22/2016","AQS","54","","."
"01/23/2016","AQS","26","","."
"01/24/2016","AQS","58","","."
"01/25/2016","AQS","115","","."
"01/26/2016","AQS","59","","."
"01/27/2016","AQS","47","","."
"01/28/2016","AQS","67","","."
"01/29/2016","AQS","49","","."
"01/30/2016","AQS","35","","."
"01/31/2016","AQS","46","","."
"02/01/2016","AQS","45","","."
"02/02/2016","AQS","38","","."
"02/03/2016","AQS","28","","."
"02/04/2016","AQS","28","","."
"02/05/2016","AQS","34","","."
"02/06/2016","AQS","55","","."
"02/07/2016","AQS","58","","."
"02/08/2016","AQS","56","","."
"02/09/2016","AQS","30","","."
"02/10/2016","AQS","41","","."
"02/11/2016","AQS","29","","."
"02/12/2016","AQS","41","","."
"02/13/2016","AQS","30","","."
"02/14/2016","AQS","28","","."
"02/15/2016","AQS","39","","."
"02/16/2016","AQS","34","","."
"02/17/2016","AQS","53","","."
"02/18/2016","AQS","33","","."
"02/19/2016","AQS","52","","."
"02/20/2016","AQS","53","","."
"02/21/2016","AQS","73","","."
"02/22/2016","AQS","45","","."
"02/23/2016","AQS","37","","."
"02/24/2016","AQS","29","","."
"02/25/2016","AQS","15","","."
"02/26/2016","AQS","21","","."
"02/27/2016","AQS","36","","."
"02/28/2016","AQS","40","","."
"02/29/2016","AQS","32","","."
"03/01/2016","AQS","47","","."
"03/02/2016","AQS","29","","."
"03/03/2016","AQS","45","","."
"03/04/2016","AQS","60","","."
"03/05/2016","AQS","60","","."
"03/06/2016","AQS","67","","."
"03/07/2016","AQS","56","","."
"03/08/2016","AQS","54","","."
"03/09/2016","AQS","58","","."
"03/10/2016","AQS","57","","."
"03/11/2016","AQS","36","","."
"03/12/2016","AQS","42","","."
"03/13/2016","AQS","57","","."
"03/14/2016","AQS","53","","."
"03/15/2016","AQS","50","","."
"03/16/2016","AQS","53","","."
"03/17/2016","AQS","31","","."
"03/18/2016","AQS","25","","."
"03/19/2016","AQS","38","","."
"03/20/2016","AQS","50","","."
"03/21/2016","AQS","40","","."
"03/22/2016","AQS","51","","."
"03/23/2016","AQS","51","","."
"03/24/2016","AQS","58","","."
"03/25/2016","AQS","41","","."
"03/26/2016","AQS","43","","."
"03/27/2016","AQS","34","","."
"03/28/2016","AQS","19","","."
"03/29/2016","AQS","19","","."
"03/30/2016","AQS","29","","."
"03/31/2016","AQS","33","","."
"04/01/2016","AQS","33","","."
"04/02/2016","AQS","28","","."
"04/03/2016","AQS","21","","."
"04/04/2016","AQS","27","","."
"04/05/2016","AQS","34","","."
"04/06/2016","AQS","43","","."
"04/07/2016","AQS","27","","."
"04/08/2016","AQS","18","","."
"04/09/2016","AQS","26","","."
"04/10/2016","AQS","30","","."
"04/11/2016","AQS","32","","."
"04/12/2016","AQS","38","","."
"04/13/2016","AQS","38","","."
"04/14/2016","AQS","53","","."
"04/15/2016","AQS","39","","."
"04/16/2016","AQS","54","","."
"04/17/2016","AQS","43","","."
"04/18/2016","AQS","45","","."
"04/19/2016","AQS","44","","."
"04/20/2016","AQS","24","","."
"04/21/2016","AQS","51","","."
"04/22/2016","AQS","47","","."
"04/23/2016","AQS","25","","."
"04/24/2016","AQS","20","","."
"04/25/2016","AQS","44","","."
"04/26/2016","AQS","39","","."
"04/27/2016","AQS","47","","."
"04/28/2016","AQS","54","","."
"04/29/2016","AQS","39","","."
"04/30/2016","AQS","52","","."
"05/01/2016","AQS","23","","."
"05/02/2016","AQS","21","","."
"05/03/2016","AQS","41","","."
"05/04/2016","AQS","25","","."
"05/05/2016","AQS","27","","."
"05/06/2016","AQS","15","","."
"05/07/2016","AQS","19","","."
"05/08/2016","AQS","23","","."
"05/09/2016","AQS","38","","."
"05/10/2016","AQS","48","","."
"05/11/2016","AQS","54","","."
"05/12/2016","AQS","56","","."
"05/13/2016","AQS","55","","."
"05/14/2016","AQS","37","","."
"05/15/2016","AQS","22","","."
"05/16/2016","AQS","23","","."
"05/17/2016","AQS","35","","."
"05/18/2016","AQS","53","","."
"05/19/2016","AQS","54","","."
"05/20/2016","AQS","48","","."
"05/21/2016","AQS","29","","."
"05/22/2016","AQS","25","","."
"05/23/2016","AQS","46","","."
"05/24/2016","AQS","42","","."
"05/25/2016","AQS","58","","."
"05/26/2016","AQS","62","","."
"05/27/2016","AQS","66","","."
"05/28/2016","AQS","57","","."
"05/29/2016","AQS","28","","."
"05/30/2016","AQS","31","","."
"05/31/2016","AQS","35","","."
"06/01/2016","AQS","41","","."
"06/02/2016","AQS","23","","."
"06/03/2016","AQS","37","","."
"06/04/2016","AQS","39","","."
"06/05/2016","AQS","23","","."
"06/06/2016","AQS","26","","."
"06/07/2016","AQS","31","","."
"06/08/2016","AQS","36","","."
"06/09/2016","AQS","25","","."
"06/10/2016","AQS","30","","."
"06/11/2016","AQS","56","","."
"06/12/2016","AQS","46","","."
"06/13/2016","AQS","24","","."
"06/14/2016","AQS","27","","."
"06/15/2016","AQS","44","","."
"06/16/2016","AQS","53","","."
"06/17/2016","AQS","29","","."
"06/18/2016","AQS","27","","."
"06/19/2016","AQS","28","","."
"06/20/2016","AQS","38","","."
"06/21/2016","AQS","37","","."
"06/22/2016","AQS","35","","."
"06/23/2016","AQS","28","","."
"06/24/2016","AQS","40","","."
"06/25/2016","AQS","41","","."
"06/26/2016","AQS","35","","."
"06/27/2016","AQS","47","","."
"06/28/2016","AQS","51","","."
"06/29/2016","AQS","36","","."
"06/30/2016","AQS","41","","."
"07/01/2016","AQS","45","","."
"07/02/2016","AQS","25","","."
"07/03/2016","AQS","37","","."
"07/04/2016","AQS","55","","."
"07/05/2016","AQS","30","","."
"07/06/2016","AQS","40","","."
"07/07/2016","AQS","46","","."
"07/08/2016","AQS","45","","."
"07/09/2016","AQS","32","","."
"07/10/2016","AQS","23","","."
"07/11/2016","AQS","28","","."
"07/12/2016","AQS","32","","."
"07/13/2016","AQS","37","","."
"07/14/2016","AQS","46","","."
"07/15/2016","AQS","30","","."
"07/16/2016","AQS","32","","."
"07/17/2016","AQS","34","","."
"07/18/2016","AQS","42","","."
"07/19/2016","AQS","40","","."
"07/20/2016","AQS","53","","."
"07/21/2016","AQS","55","","."
"07/22/2016","AQS","60","","."
"07/23/2016","AQS","52","","."
"07/24/2016","AQS","45","","."
"07/25/2016","AQS","54","","."
"07/26/2016","AQS","45","","."
"07/27/2016","AQS","50","","."
"07/28/2016","AQS","45","","."
"07/29/2016","AQS","42","","."
"07/30/2016","AQS","43","","."
"07/31/2016","AQS","33","","."
"08/01/2016","AQS","39","","."
"08/02/2016","AQS","41","","."
"08/03/2016","AQS","28","","."
"08/04/2016","AQS","26","","."
"08/05/2016","AQS","30","","."
"08/06/2016","AQS","40","","."
"08/07/2016","AQS","22","","."
"08/08/2016","AQS","33","","."
"08/09/2016","AQS","31","","."
"08/10/2016","AQS","35","","."
"08/11/2016","AQS","43","","."
"08/12/2016","AQS","44","","."
"08/13/2016","AQS","35","","."
"08/14/2016","AQS","26","","."
"08/15/2016","AQS","21","","."
"08/16/2016","AQS","35","","."
"08/17/2016","AQS","20","","."
"08/18/2016","AQS","26","","."
"08/19/2016","AQS","34","","."
"08/20/2016","AQS","44","","."
"08/21/2016","AQS","33","","."
"08/22/2016","AQS","19","","."
"08/23/2016","AQS","23","","."
"08/24/2016","AQS","28","","."
"08/25/2016","AQS","45","","."
"08/26/2016","AQS","45","","."
"08/27/2016","AQS","49","","."
"08/28/2016","AQS","33","","."
"08/29/2016","AQS","33","","."
"08/30/2016","AQS","36","","."
"08/31/2016","AQS","52","","."
"09/01/2016","AQS","49","","."
"09/02/2016","AQS","20","","."
"09/03/2016","AQS","22","","."
"09/04/2016","AQS","24","","."
"09/05/2016","AQS","33","","."
"09/06/2016","AQS","40","","."
"09/07/2016","AQS","44","","."
"09/08/2016","AQS","53","","."
"09/09/2016","AQS","52","","."
"09/10/2016","AQS","59","","."
"09/11/2016","AQS","33","","."
"09/12/2016","AQS","21","","."
"09/13/2016","AQS","27","","."
"09/14/2016","AQS","37","","."
"09/15/2016","AQS","24","","."
"09/16/2016","AQS","23","","."
"09/17/2016","AQS","42","","."
"09/18/2016","AQS","54","","."
"09/19/2016","AQS","60","","."
"09/20/2016","AQS","61","","."
"09/21/2016","AQS","50","","."
"09/22/2016","AQS","51","","."
"09/23/2016","AQS","53","","."
"09/24/2016","AQS","51","","."
"09/25/2016","AQS","29","","."
"09/26/2016","AQS","35","","."
"09/27/2016","AQS","43","","."
"09/28/2016","AQS","45","","."
"09/29/2016","AQS","21","","."
"09/30/2016","AQS","22","","."
"10/01/2016","AQS","22","","."
"10/02/2016","AQS","40","","."
"10/03/2016","AQS","49","","."
"10/04/2016","AQS","55","","."
"10/05/2016","AQS","41","","."
"10/06/2016","AQS","41","","."
"10/07/2016","AQS","43","","."
"10/08/2016","AQS","36","","."
"10/09/2016","AQS","27","","."
"10/10/2016","AQS","23","","."
"10/11/2016","AQS","41","","."
"10/12/2016","AQS","55","","."
"10/13/2016","AQS","51","","."
"10/14/2016","AQS","33","","."
"10/15/2016","AQS","50","","."
"10/16/2016","AQS","48","","."
"10/17/2016","AQS","60","","."
"10/18/2016","AQS","60","","."
"10/19/2016","AQS","63","","."
"10/20/2016","AQS","92","","."
"10/21/2016","AQS","19","","."
"10/22/2016","AQS","20","","."
"10/23/2016","AQS","31","","."
"10/24/2016","AQS","32","","."
"10/25/2016","AQS","25","","."
"10/26/2016","AQS","43","","."
"10/27/2016","AQS","45","","."
"10/28/2016","AQS","29","","."
"10/29/2016","AQS","56","","."
"10/30/2016","AQS","51","","."
"10/31/2016","AQS","26","","."
"11/01/2016","AQS","43","","."
"11/02/2016","AQS","64","","."
"11/03/2016","AQS","64","","."
"11/04/2016","AQS","30","","."
"11/05/2016","AQS","37","","."
"11/06/2016","AQS","36","","."
"11/07/2016","AQS","32","","."
"11/08/2016","AQS","49","","."
"11/09/2016","AQS","51","","."
"11/10/2016","AQS","29","","."
"11/11/2016","AQS","31","","."
"11/12/2016","AQS","34","","."
"11/13/2016","AQS","54","","."
"11/14/2016","AQS","64","","."
"11/15/2016","AQS","52","","."
"11/16/2016","AQS","67","","."
"11/17/2016","AQS","62","","."
"11/18/2016","AQS","71","","."
"11/19/2016","AQS","70","","."
"11/20/2016","AQS","24","","."
"11/21/2016","AQS","35","","."
"11/22/2016","AQS","38","","."
"11/23/2016","AQS","60","","."
"11/24/2016","AQS","78","","."
"11/25/2016","AQS","102","","."
"11/26/2016","AQS","56","","."
"11/27/2016","AQS","52","","."
"11/28/2016","AQS","66","","."
"11/29/2016","AQS","55","","."
"11/30/2016","AQS","62","","."
"12/01/2016","AQS","36","","."
"12/02/2016","AQS","36","","."
"12/03/2016","AQS","35","","."
"12/04/2016","AQS","48","","."
"12/05/2016","AQS","38","","."
"12/06/2016","AQS","48","","."
"12/07/2016","AQS","57","","."
"12/08/2016","AQS","55","","."
"12/09/2016","AQS","38","","."
"12/10/2016","AQS","46","","."
"12/11/2016","AQS","56","","."
"12/12/2016","AQS","51","","."
"12/13/2016","AQS","58","","."
"12/14/2016","AQS","55","","."
"12/15/2016","AQS","38","","."
"12/16/2016","AQS","39","","."
"12/17/2016","AQS","62","","."
"12/18/2016","AQS","52","","."
"12/19/2016","AQS","42","","."
"12/20/2016","AQS","62","","."
"12/21/2016","AQS","63","","."
"12/22/2016","AQS","56","","."
"12/23/2016","AQS","64","","."
"12/24/2016","AQS","68","","."
"12/25/2016","AQS","63","","."
"12/26/2016","AQS","65","","."
"12/27/2016","AQS","42","","."
"12/28/2016","AQS","43","","."
"12/29/2016","AQS","49","","."
"12/30/2016","AQS","34","","."
"12/31/2016","AQS","38","","."
